player,Overall,Nationality,Team,Archetype,Position1,Position2,Height,Weight,Jersey,Year(s) in the NBA,Prior to NBA,Rank current,Rank all,Outside Scoring,Athleticism,Inside Scoring,Playmaking,Defending,Rebounding,Intangibles,Potential,Total Attributes,Close Shot,Mid-Range Shot,Three-Point Shot,Free Throw,Shot IQ,Offensive Consistency,Speed,Acceleration,Strength,Vertical,Stamina,Hustle,Overall Durability,Layup,Standing Dunk,Driving Dunk,Post Hook,Post Fade,Post Control,Draw Foul,Hands,Pass Accuracy,Ball Handle,Speed with Ball,Pass IQ,Pass Vision,Interior Defense,Perimeter Defense,Steal,Block,Lateral Quickness,Help Defense IQ,Pass Perception,Defensive Consistency,Offensive Rebound,Defensive Rebound,Team_Category
Marcus Camby,81,United States,2009-10 Portland Trail Blazers,Paint Beast,C,-,211,99,21,0,UMass,204,817,65,74,70,37,72,84,95,87,2578,86,75,40,58,86,45,64,62,78,60,95,95,66,60,90,71,81,38,79,44,94,45,35,26,50,28,85,56,60,96,56,85,60,80,83,84,Classic
Jerryd Bayless,78,United States,2009-10 Portland Trail Blazers,Mid-Range Specialist,PG,SG,191,90,4,2,Arizona,282,964,80,76,49,77,51,40,95,78,2448,60,82,74,83,97,85,92,92,46,75,84,64,80,83,25,45,26,42,26,47,95,74,78,89,71,71,34,52,62,40,83,54,49,35,33,47,Classic
Dante Cunningham,76,United States,2009-10 Portland Trail Blazers,Multi-Position Defender,PF,C,203,104,33,0,Villanova,346,1,63,67,56,43,68,60,98,76,2350,83,65,40,65,70,55,39,36,77,66,81,88,83,56,55,56,52,54,57,38,76,65,50,36,33,33,75,78,42,51,64,79,78,80,53,67,Classic
Patty Mills,74,Australia,2009-10 Portland Trail Blazers,Floor-Spacing Slasher,PG,-,183,81,8,1,Saint Mary's,430,1,75,75,43,80,52,40,75,76,2356,85,70,83,65,75,70,87,85,51,66,82,70,82,84,25,25,25,37,25,49,73,75,86,86,79,74,27,65,40,35,83,61,61,40,32,47,Classic
David Robinson,91,United States,1997-98 San Antonio Spurs,Paint Beast,C,PF,216,106,50,0,United States Naval Academy,64,281,80,73,83,47,75,87,98,96,2850,90,70,50,73,96,98,64,40,85,60,85,95,83,60,90,60,75,96,97,93,90,40,54,32,48,62,88,43,61,86,43,90,88,98,86,87,Classic
Tim Duncan,88,U.S. Virgin Islands,1997-98 San Antonio Spurs,Interior Force,PF,C,211,112,21,0,Wake Forest,93,405,71,70,80,45,69,78,95,98,2678,79,65,40,66,85,90,45,37,87,50,95,85,92,60,90,48,91,87,95,75,92,56,39,25,52,53,85,38,57,82,38,80,85,85,72,84,Classic
Sean Elliott,78,United States,1997-98 San Antonio Spurs,3 & D Wing,SF,SG,203,92,32,0,Arizona,267,936,76,69,65,55,71,44,77,88,2550,76,71,85,71,83,70,64,63,64,60,79,72,78,75,65,70,48,62,58,61,79,55,69,57,55,40,68,83,60,50,86,83,68,70,34,53,Classic
Avery Johnson,77,United States,1997-98 San Antonio Spurs,2-Way Playmaker,PG,SG,178,79,6,0,Southern University and A&M College,302,1,74,79,43,82,68,35,75,80,2515,79,68,57,72,85,80,82,87,58,60,91,90,86,72,25,25,25,29,25,56,85,80,82,86,81,82,55,82,63,37,89,82,55,80,32,37,Classic
Vinny Del Negro,75,United States,1997-98 San Antonio Spurs,3 & D Guard,SG,PG,193,90,15,0,NC State,379,1,77,68,43,71,62,38,75,77,2365,74,79,81,79,85,65,61,57,50,45,90,87,88,66,25,25,25,51,29,49,75,73,76,67,72,65,45,82,59,30,84,82,45,71,29,47,Classic
Chuck Person,71,United States,1997-98 San Antonio Spurs,3PT Specialist,SF,PF,203,99,45,0,Auburn,515,1,70,61,57,47,59,47,70,88,2262,72,70,84,75,65,55,42,42,77,57,70,60,79,54,55,52,50,65,60,37,80,50,60,39,49,38,58,65,58,37,72,65,58,61,32,61,Classic
Will Perdue,70,United States,1997-98 San Antonio Spurs,Glass Cleaner,C,PF,213,108,41,0,Vanderbilt,561,1,49,50,48,32,53,89,70,75,1941,48,38,25,52,65,65,25,25,78,28,65,50,82,25,50,40,61,40,44,66,60,40,25,25,39,31,69,25,56,63,25,68,56,65,90,87,Classic
Jaren Jackson,70,United States,1997-98 San Antonio Spurs,3PT Specialist,SG,SF,193,86,2,0,Georgetown,571,1,74,68,54,54,61,42,69,70,2330,75,75,83,79,64,65,52,50,72,60,77,73,93,63,40,58,33,70,45,50,75,55,65,51,55,43,64,66,61,32,69,66,64,65,40,43,Classic
Monty Williams,69,United States,1997-98 San Antonio Spurs,Slasher,SF,PF,203,101,3,0,Notre Dame,584,1,62,66,61,54,58,52,68,77,2298,68,67,48,67,60,60,55,55,55,64,80,70,82,72,50,67,40,60,50,73,75,58,64,51,57,42,57,60,61,52,68,52,50,60,56,47,Classic
Tim Duncan,98,U.S. Virgin Islands,2004-05 San Antonio Spurs,2-Way Mid-Range Finisher,PF,C,211,115,21,0,Wake Forest,4,19,88,86,87,59,87,90,95,99,3192,95,95,75,67,98,98,68,64,96,80,98,98,98,78,80,65,98,93,98,89,98,68,55,42,81,49,98,69,74,96,69,98,92,98,85,95,Classic
Tony Parker,90,France,2004-05 San Antonio Spurs,2-Way Slashing Playmaker,PG,-,188,83,9,0,France,72,305,84,86,58,92,75,39,80,96,2879,95,87,73,65,97,85,99,98,50,85,95,95,80,97,25,30,30,58,58,64,98,94,95,96,95,80,54,80,85,35,92,84,92,80,30,47,Classic
Manu Ginobili,87,Argentina,2004-05 San Antonio Spurs,Inside-Out Playmaker,SG,-,198,0,20,0,Argentina,103,476,87,77,64,82,66,57,95,90,2807,88,80,84,84,92,95,80,80,43,67,90,86,95,92,25,50,40,65,49,89,98,82,86,84,84,73,45,75,70,51,75,72,74,65,52,62,Classic
Bruce Bowen,84,United States,2004-05 San Antonio Spurs,2-Way Sharpshooter,SF,PF,203,99,12,0,Fullerton,160,724,81,74,62,68,81,42,40,84,2688,65,88,89,63,80,98,69,71,55,67,91,85,77,70,35,65,35,48,74,79,90,77,76,67,80,38,64,91,69,61,96,85,88,95,36,47,Classic
Robert Horry,79,United States,2004-05 San Antonio Spurs,3PT Specialist,SF,PF,208,104,5,0,Alabama,247,894,78,68,68,53,65,71,70,85,2573,80,80,84,79,95,50,55,55,60,70,82,72,84,70,85,60,60,65,65,57,80,55,64,36,54,57,68,68,75,60,69,69,64,50,69,72,Classic
Brent Barry,78,United States,2004-05 San Antonio Spurs,3PT Specialist,SF,SG,201,110,17,0,Oregon State,285,967,80,72,53,61,61,50,85,78,2457,76,80,85,84,97,55,68,68,38,85,95,74,77,77,25,70,50,50,25,42,86,64,74,60,68,37,45,70,58,27,70,77,72,65,48,52,Classic
Nazr Mohammed,76,United States,2004-05 San Antonio Spurs,Paint Defender,C,-,208,113,2,0,Kentucky,347,1,56,58,54,28,71,75,95,76,2200,79,54,25,67,64,45,31,25,85,38,72,72,84,50,55,50,58,57,67,54,43,29,35,25,26,25,84,55,62,85,55,82,67,75,68,81,Classic
Tim Duncan,94,U.S. Virgin Islands,2013-14 San Antonio Spurs,Paint Beast,PF,C,211,115,21,0,Wake Forest,33,169,80,81,86,59,76,86,95,99,3004,95,70,48,73,98,98,68,64,85,65,88,98,98,78,80,65,98,93,98,75,98,68,55,42,81,49,86,69,60,86,69,86,70,85,84,87,Classic
Kawhi Leonard,91,United States,2013-14 San Antonio Spurs,2-Way Scoring Machine,SF,PF,201,104,2,9,San Diego State,67,285,86,85,72,71,86,54,50,95,2973,97,97,83,80,82,75,85,79,75,79,94,98,82,82,55,86,50,78,78,45,98,69,82,79,68,58,62,98,79,57,98,97,97,98,43,65,Classic
Tony Parker,86,France,2013-14 San Antonio Spurs,Offensive Threat,PG,-,188,83,9,0,France,115,545,87,82,55,84,69,39,80,96,2764,95,90,81,81,97,80,90,90,50,70,95,95,85,86,25,30,30,58,58,64,90,84,86,90,80,80,54,77,74,35,92,74,75,70,30,47,Classic
Manu Ginobili,83,Argentina,2013-14 San Antonio Spurs,Slasher,SG,-,198,0,20,0,Argentina,166,731,83,77,62,80,61,57,90,90,2711,78,74,78,84,92,90,80,80,43,67,90,86,95,86,25,50,40,65,49,80,98,84,88,80,80,70,45,70,60,51,70,60,64,65,52,62,Classic
Danny Green,82,United States,2013-14 San Antonio Spurs,3 & D Guard,SG,SF,198,97,4,1,UNC,193,800,79,74,55,63,79,45,85,82,2628,79,71,86,79,90,70,61,76,60,69,83,85,82,80,40,63,30,54,35,52,82,70,70,60,75,38,62,90,65,66,91,88,80,90,35,54,Classic
Tiago Splitter,78,Brazil,2013-14 San Antonio Spurs,Finisher,C,-,211,110,22,3,Brazil,281,963,67,66,69,37,62,70,98,78,2408,69,70,26,70,95,70,51,40,68,63,77,83,81,60,70,58,80,58,75,80,68,35,35,27,51,37,80,43,60,50,43,80,74,65,70,70,Classic
Patty Mills,78,Australia,2013-14 San Antonio Spurs,Scoring Machine,PG,-,183,81,8,1,Saint Mary's,286,968,82,75,43,78,52,40,75,78,2391,85,83,87,89,75,70,87,85,51,66,82,70,82,84,25,25,25,37,25,49,73,75,86,86,79,66,27,65,40,35,83,61,61,40,32,47,Classic
Marco Belinelli,77,Italy,2013-14 San Antonio Spurs,Sharpshooter,SG,SF,196,95,3,3,Italy,313,1,86,63,53,61,53,41,80,77,2346,86,88,88,85,95,75,51,50,33,69,83,73,80,79,25,65,28,54,34,60,78,75,72,38,82,40,53,60,36,35,64,64,64,45,30,52,Classic
Cory Joseph,77,Canada,2013-14 San Antonio Spurs,2-Way Mid-Range Scorer,PG,SG,191,87,5,9,Texas,316,1,78,70,47,79,67,46,50,77,2487,91,93,74,82,75,50,71,71,40,65,88,70,84,76,25,30,27,39,29,67,85,82,84,77,84,70,54,80,66,50,89,71,59,70,35,57,Classic
Boris Diaw,76,France,2013-14 San Antonio Spurs,Stretch Four,SF,-,203,0,33,0,France,328,1,76,71,63,68,57,62,80,83,2530,80,76,80,74,75,70,62,62,42,82,80,86,83,70,60,60,60,63,57,50,80,68,66,57,76,72,60,50,60,44,54,68,66,50,58,66,Classic
Aron Baynes,73,Australia,2013-14 San Antonio Spurs,Mid-Range Shooter,C,-,208,117,16,0,Washington State,463,1,64,62,57,41,53,74,88,76,2218,82,73,30,91,64,45,32,30,90,54,75,75,80,60,65,54,57,52,58,40,72,42,35,25,65,39,68,37,33,73,37,68,60,45,76,72,Classic
Shawn Marion,86,United States,2002-03 Phoenix Suns,3 & D Wing,SF,PF,201,99,31,0,UNLV,120,553,82,80,74,60,77,67,85,90,2865,70,80,84,85,92,80,77,73,60,88,86,90,85,82,70,85,72,54,69,65,95,60,61,66,70,41,80,84,90,61,87,80,65,70,58,75,Classic
Stephon Marbury,85,United States,2002-03 Phoenix Suns,Slashing Playmaker,PG,-,191,86,3,0,Georgia Tech,144,654,83,84,59,83,61,39,90,85,2713,90,81,74,80,91,80,88,88,64,92,88,92,78,89,25,35,55,55,55,80,77,80,86,88,80,83,50,76,50,38,83,75,64,50,34,44,Classic
Amar’e Stoudemire,81,United States,2002-03 Phoenix Suns,Lob Threat,PF,C,208,110,32,0,Cypress Creek High School,201,813,67,79,82,48,63,79,50,90,2651,70,40,50,66,98,75,76,69,82,82,82,85,75,78,95,95,64,62,74,93,98,52,54,42,60,30,77,52,41,65,52,75,74,70,80,78,Classic
Penny Hardaway,79,United States,2002-03 Phoenix Suns,Sharpshooter,PG,SG,201,88,1,0,Memphis,229,874,77,77,69,78,67,51,85,93,2761,60,85,80,79,92,65,76,76,58,68,94,86,82,84,70,60,55,65,70,60,89,79,80,75,84,71,55,78,57,51,71,79,68,80,45,56,Classic
Tom Gugliotta,75,United States,2002-03 Phoenix Suns,Mid-Range Finisher,PF,SF,206,108,24,0,NC State,367,1,70,71,70,51,53,65,80,80,2452,90,86,34,90,77,45,66,62,60,68,95,65,83,79,70,70,68,71,68,47,90,52,58,50,54,43,64,51,47,45,61,55,54,45,56,73,Classic
Bo Outlaw,75,United States,2002-03 Phoenix Suns,Mid-Range Shooter,PF,SF,203,95,45,0,Houston,373,1,64,68,60,36,61,65,95,78,2301,66,72,38,62,78,65,39,36,84,66,81,95,77,56,55,56,60,65,65,45,74,34,43,25,38,38,66,65,44,69,42,75,49,75,67,63,Classic
Casey Jacobsen,71,United States,2002-03 Phoenix Suns,Shooter,SF,SG,198,99,23,0,Stanford,537,1,65,69,50,51,59,39,74,72,2231,59,73,75,69,65,50,57,64,64,75,84,64,77,70,40,45,30,58,47,45,68,58,60,42,57,39,53,77,47,35,77,68,60,55,39,39,Classic
Scott Williams,71,United States,2002-03 Phoenix Suns,Mid-Range Shooter,PF,C,208,104,47,0,UNC,541,1,60,60,52,32,54,69,85,71,2076,74,74,30,79,50,50,38,39,70,43,65,90,77,32,77,40,40,55,44,65,62,35,33,25,38,29,66,25,47,58,25,70,68,70,71,66,Classic
Steve Nash,95,Canada,2004-05 Phoenix Suns,All-Around 2-Way,PG,-,191,88,13,0,Santa Clara,31,141,93,81,51,95,67,40,97,95,2812,91,92,92,88,98,98,88,89,50,65,95,95,82,97,25,28,28,25,30,74,98,98,91,92,99,96,25,84,61,30,84,80,92,80,37,43,Classic
Amar’e Stoudemire,89,United States,2004-05 Phoenix Suns,Mid-Range Finisher,PF,C,208,110,32,0,Cypress Creek High School,89,356,82,79,90,48,66,75,88,90,2861,84,90,50,73,98,97,76,69,82,82,82,85,75,78,95,95,84,82,94,93,98,52,54,42,60,34,77,52,60,70,52,75,74,70,72,77,Classic
Shawn Marion,86,United States,2004-05 Phoenix Suns,2-Way Finisher,SF,PF,201,99,31,0,UNLV,121,554,82,80,74,58,76,78,85,90,2872,88,70,79,83,92,80,77,73,60,88,86,90,85,82,70,85,72,54,69,65,95,60,61,66,70,34,80,84,77,65,87,80,65,70,74,81,Classic
Quentin Richardson,78,United States,2004-05 Phoenix Suns,3PT Specialist,SG,SF,198,100,3,0,DePaul,276,947,79,73,56,65,60,52,76,83,2493,79,75,88,73,84,75,74,77,52,78,80,80,68,78,40,70,25,62,45,56,70,78,74,67,70,34,45,68,63,40,68,73,62,60,42,61,Classic
Steven Hunter,73,United States,2004-05 Phoenix Suns,Rim Protector,C,PF,213,99,45,0,DePaul,459,1,54,73,68,41,62,64,73,78,2356,79,62,47,33,50,50,52,42,74,85,86,90,83,58,85,63,60,58,62,75,84,54,50,25,50,26,77,45,35,89,45,75,68,60,72,56,Classic
Leandro Barbosa,73,Brazil,2004-05 Phoenix Suns,Deep-Range Shot Creator,SG,PG,191,79,10,0,Brazil,460,1,69,76,44,71,45,44,71,78,2248,75,79,81,79,61,40,97,95,42,66,80,73,77,74,25,25,30,30,30,57,80,58,85,95,55,64,36,49,61,35,55,50,42,30,41,47,Classic
Jim Jackson,72,United States,2004-05 Phoenix Suns,3PT Specialist,SG,-,198,99,21,0,Ohio State,495,1,71,73,45,70,46,46,72,76,2258,59,66,86,93,73,50,84,83,46,75,84,64,78,83,25,45,26,42,26,37,78,70,78,70,75,55,34,52,57,30,57,54,49,35,34,57,Classic
Bo Outlaw,70,United States,2004-05 Phoenix Suns,Mid-Range Specialist,PF,SF,203,95,46,0,Houston,554,1,63,66,60,35,57,68,68,78,2230,66,82,50,55,78,45,39,36,77,66,81,88,77,56,55,56,60,65,65,45,74,34,43,25,38,34,66,42,61,76,42,63,49,60,66,69,Classic
Gary Payton,94,United States,1995-96 Seattle Supersonics,All-Around 2-Way,PG,SG,193,81,20,0,Oregon State,38,201,84,85,69,91,85,46,60,94,3028,84,81,80,74,98,85,85,88,65,74,98,90,93,93,25,42,60,83,85,67,98,97,89,91,98,78,60,98,99,37,99,98,93,98,45,46,Classic
Shawn Kemp,89,United States,1995-96 Seattle Supersonics,Paint Beast,PF,C,208,104,40,0,Trinity Valley Community College,91,366,69,82,86,42,72,87,95,89,2814,78,60,53,74,73,75,74,64,82,95,86,88,85,77,97,96,71,83,90,89,85,38,62,30,37,43,82,59,63,77,59,77,80,75,85,88,Classic
Detlef Schrempf,82,Germany,1995-96 Seattle Supersonics,Sharpshooter,SF,PF,206,96,11,0,Germany,189,786,82,66,71,64,66,52,82,85,2639,84,82,89,77,80,80,45,40,66,69,88,71,83,65,65,62,57,79,83,77,82,71,71,39,70,70,70,66,60,32,73,71,72,80,45,58,Classic
Hersey Hawkins,78,United States,1995-96 Seattle Supersonics,Sharpshooter,SG,PG,191,86,33,0,Bradley,270,941,84,73,55,63,61,45,78,85,2504,83,85,84,87,85,80,66,66,55,72,90,72,90,80,40,55,25,66,25,66,80,62,70,70,64,47,34,76,79,35,78,70,45,70,43,46,Classic
Sam Perkins,77,United States,1995-96 Seattle Supersonics,Stretch Four,PF,C,206,106,14,0,UNC,298,993,81,58,62,38,63,57,73,84,2356,76,76,87,79,86,80,34,27,74,46,75,67,83,50,60,44,60,70,60,69,84,47,37,25,46,37,76,36,65,57,36,77,75,85,53,60,Classic
Nate McMillan,75,United States,1995-96 Seattle Supersonics,3PT Specialist,PG,SG,196,88,10,0,NC State,380,1,71,73,47,75,70,54,73,77,2509,72,69,83,70,61,70,67,61,70,65,82,85,81,65,25,62,25,55,36,41,70,76,77,75,78,71,60,76,92,51,85,68,62,65,45,63,Classic
Ervin Johnson,74,United States,1995-96 Seattle Supersonics,Paint Defender,C,PF,211,110,50,0,New Orleans,437,1,49,60,54,30,60,77,95,74,2100,55,35,25,66,65,50,40,25,74,49,69,75,85,28,96,60,66,40,29,65,49,34,28,25,35,29,85,25,60,90,25,60,85,50,72,82,Classic
Eric Snow,71,United States,1995-96 Seattle Supersonics,Pass-First Point,PG,-,191,86,3,0,Michigan State,533,1,59,71,60,80,65,42,50,76,2457,74,70,67,59,50,35,79,77,54,57,85,60,83,85,25,25,55,70,70,53,93,82,78,80,80,79,52,78,61,40,87,75,60,70,35,48,Classic
David Wingate,71,United States,1995-96 Seattle Supersonics,3PT Specialist,SG,SF,196,83,25,0,Georgetown,534,1,73,69,49,57,61,40,71,74,2315,74,75,83,78,65,60,64,61,55,60,82,85,79,65,42,55,25,55,25,53,75,58,67,53,60,49,62,68,61,37,71,70,58,60,40,40,Classic
Vincent Askew,71,United States,1995-96 Seattle Supersonics,3PT Shot Creator,SG,SF,198,95,2,0,Memphis,536,1,71,65,54,62,61,49,71,73,2350,73,70,78,76,66,65,60,58,55,63,75,64,79,66,46,64,25,55,36,67,71,64,72,53,65,58,45,69,61,42,72,62,68,65,48,50,Classic
Frank Brickowski,69,United States,1995-96 Seattle Supersonics,Stretch Four,PF,C,206,108,34,0,Penn State,579,1,72,56,55,39,54,52,65,80,2140,66,60,85,70,78,70,25,25,85,25,65,85,84,40,60,40,62,50,51,65,70,48,40,25,47,37,70,25,60,40,25,77,72,65,41,62,Classic
Kevin Durant,96,United States,2011-12 Oklahoma City Thunder,Scoring Machine,SF,PF,206,108,35,3,Texas,22,93,94,83,82,79,71,67,65,98,3060,96,97,89,86,98,98,89,89,55,84,98,75,89,98,51,85,68,88,84,91,91,80,90,84,81,60,68,70,74,74,84,74,65,60,50,84,Classic
Russell Westbrook,89,United States,2011-12 Oklahoma City Thunder,Slashing Playmaker,PG,-,191,90,0,2,UCLA,86,352,83,92,65,85,66,50,75,93,2889,76,88,72,82,84,98,99,99,74,90,98,98,88,90,25,85,33,64,57,84,81,80,86,96,88,75,30,77,71,28,92,74,84,75,48,52,Classic
James Harden,87,United States,2011-12 Oklahoma City Thunder,Scoring Machine,SG,-,196,99,13,1,Arizona State,102,473,83,87,73,81,55,43,94,92,2803,65,81,89,85,88,90,87,87,72,87,90,95,88,94,35,84,57,78,55,86,94,76,91,86,77,74,67,53,69,53,76,43,54,25,36,50,Classic
Serge Ibaka,87,Congo  /  Spain,2011-12 Oklahoma City Thunder,2-Way Mid-Range Finisher,PF,C,208,110,9,2,Congo,112,527,76,80,71,36,80,83,80,87,2731,92,91,70,66,88,50,64,52,75,95,93,85,94,68,77,90,57,54,71,64,85,26,32,27,69,25,95,62,53,97,62,95,84,90,92,74,Classic
Kendrick Perkins,77,United States,2011-12 Oklahoma City Thunder,Paint Defender,C,-,208,126,5,0,Clifton J. Ozen High School,314,1,60,64,68,38,69,79,75,77,2403,89,44,25,62,80,60,32,32,95,52,73,83,79,60,85,45,74,59,72,67,85,35,41,25,54,33,84,75,57,84,32,84,66,70,78,80,Classic
Thabo Sefolosha,76,Switzerland  /  South Africa,2011-12 Oklahoma City Thunder,2-Way Sharpshooter,SF,-,201,100,2,4,Switzerland,342,1,70,73,57,52,74,55,40,78,2466,60,84,89,88,70,30,72,69,42,84,92,72,81,71,40,75,35,51,44,60,82,54,68,53,46,37,55,84,73,56,87,81,74,80,41,68,Classic
Nick Collison,75,United States,2011-12 Oklahoma City Thunder,Mid-Range Specialist,PF,-,208,115,4,0,Kansas,366,1,66,65,63,42,55,74,85,81,2318,74,87,38,71,88,35,62,25,66,63,75,85,79,70,60,51,64,62,78,60,61,46,44,25,58,38,75,30,58,56,30,75,70,45,82,66,Classic
Daequan Cook,74,United States,2011-12 Oklahoma City Thunder,Sharpshooter,SG,-,196,92,14,0,Ohio State,443,1,80,68,43,69,48,30,70,74,2233,70,85,84,64,95,80,82,79,30,80,75,60,70,70,35,50,30,30,30,27,75,72,77,72,75,50,30,55,50,25,77,55,40,50,30,30,Classic
Derek Fisher,73,United States,2011-12 Oklahoma City Thunder,Deep-Range Shot Creator,PG,SG,185,90,37,0,Little Rock,456,1,72,67,41,76,55,48,95,78,2315,74,73,80,88,84,35,74,74,30,66,80,68,78,76,25,25,25,35,26,37,76,86,81,73,87,55,47,68,58,30,78,66,49,40,40,55,Classic
Reggie Jackson,71,United States,2011-12 Oklahoma City Thunder,Mid-Range Shot Creator,PG,-,191,94,15,9,Boston College,519,1,71,81,50,76,58,38,35,82,2440,74,82,66,86,70,50,83,89,48,85,95,85,84,72,25,69,25,48,28,54,80,78,82,84,74,64,49,64,59,32,84,60,64,55,33,43,Classic
Nazr Mohammed,70,United States,2011-12 Oklahoma City Thunder,Paint Defender,C,-,208,113,8,0,Kentucky,567,1,49,56,49,28,66,75,95,72,2068,75,54,25,33,64,45,31,25,72,38,72,72,84,50,55,50,58,57,47,35,43,29,35,25,26,25,80,55,62,67,55,66,67,75,68,81,Classic
Kevin Garnett,97,United States,2003-04 Minnesota Timberwolves,2-Way Mid-Range Finisher,PF,C,211,99,21,0,Mauldin High School,20,61,89,84,89,66,78,88,98,97,3158,96,94,69,79,95,98,79,69,84,87,96,86,88,82,97,88,88,89,98,82,90,68,70,37,85,72,92,61,65,80,61,88,85,90,84,91,Classic
Sam Cassell,85,United States,2003-04 Minnesota Timberwolves,Inside-Out Playmaker,PG,SG,191,83,19,0,Florida State,145,657,87,76,57,84,66,40,88,85,2711,92,77,88,87,90,85,84,87,34,76,95,72,86,94,25,25,30,58,58,70,95,83,86,84,82,85,54,70,64,37,81,74,75,75,34,46,Classic
Latrell Sprewell,82,United States,2003-04 Minnesota Timberwolves,2-Way Mid-Range Finisher,SF,-,196,86,8,0,Alabama,191,795,80,77,69,74,64,42,80,83,2702,84,82,75,81,81,75,66,85,48,88,93,75,85,80,55,90,40,78,65,67,78,84,76,67,83,61,40,83,61,37,86,74,73,60,36,47,Classic
Wally Szczerbiak,78,United States,2003-04 Minnesota Timberwolves,Sharpshooter,SF,SG,201,110,10,0,Miami University,273,944,84,65,47,61,53,50,76,85,2323,81,90,89,86,81,75,62,63,27,63,88,74,77,74,25,25,25,50,25,68,86,66,78,60,64,37,35,63,58,27,70,63,62,45,48,52,Classic
Fred Hoiberg,73,United States,2003-04 Minnesota Timberwolves,Sharpshooter,SG,-,193,77,32,0,Iowa State,465,1,82,62,53,55,47,48,72,76,2241,85,85,86,84,84,70,62,60,36,64,87,52,74,70,25,30,40,55,64,56,80,59,66,56,58,37,28,59,65,35,63,43,40,40,32,63,Classic
Mark Madsen,72,United States,2003-04 Minnesota Timberwolves,Rebounder,PF,C,206,108,35,0,Stanford,504,1,60,70,66,39,58,70,70,75,2326,66,70,30,51,86,55,63,35,80,65,82,95,73,55,60,65,68,62,68,67,84,29,37,32,69,28,68,41,61,50,41,69,66,70,85,55,Classic
Trenton Hassell,71,United States,2003-04 Minnesota Timberwolves,Mid-Range Specialist,SG,SF,196,90,23,0,Austin Peay State University,544,1,68,64,63,68,62,45,71,71,2431,85,85,57,74,72,35,69,68,30,60,89,56,79,75,40,69,50,73,68,40,88,85,77,63,79,36,51,68,57,56,71,71,59,65,42,47,Classic
Ervin Johnson,69,United States,2003-04 Minnesota Timberwolves,Paint Defender,C,PF,211,110,40,0,New Orleans,593,1,48,58,51,30,58,68,68,73,1995,55,35,25,60,65,50,32,25,74,49,69,75,85,28,95,60,66,40,29,40,49,34,28,25,35,28,85,25,61,72,25,60,85,50,62,73,Classic
Gary Trent,68,United States,2003-04 Minnesota Timberwolves,Paint Defender,C,PF,203,113,20,0,Ohio University,609,1,58,66,65,39,57,65,68,75,2253,61,60,25,75,75,50,50,32,76,68,85,72,78,50,80,63,53,62,66,66,79,38,35,25,63,34,80,39,55,51,39,77,58,60,69,61,Classic
Chris Mullin,90,United States,1990-91 Golden State Warriors,2-Way 3-Level Scorer,SF,SG,201,90,17,0,St. John's,75,309,93,79,64,67,78,49,88,94,2863,92,91,90,88,97,98,64,66,76,68,93,91,95,84,38,45,44,72,55,78,98,69,75,63,69,59,66,84,73,51,87,89,85,90,48,50,Classic
Tim Hardaway,87,United States,1990-91 Golden State Warriors,All-Around 2-Way,PG,SG,183,79,11,0,Texas-El Paso,104,478,86,82,52,90,67,43,86,90,2741,86,85,82,80,90,90,81,85,70,69,95,86,85,92,25,25,25,55,33,70,87,93,97,85,94,82,40,84,86,30,90,70,52,80,40,46,Classic
Mitch Richmond,85,United States,1990-91 Golden State Warriors,3-Level Scorer,SG,SF,196,97,23,0,Kansas State,133,615,90,81,63,61,65,52,84,93,2721,90,95,81,84,95,95,68,73,85,78,92,81,90,90,45,57,36,74,48,75,82,55,80,72,55,44,50,75,64,42,77,74,58,80,52,52,Classic
Tyrone Hill,76,United States,1990-91 Golden State Warriors,Glass Cleaner,PF,-,206,108,32,0,Xavier,333,1,56,65,64,32,62,84,75,82,2280,68,57,25,63,60,60,46,40,77,50,80,85,79,48,86,60,64,47,70,71,65,28,45,30,30,27,77,44,60,55,44,72,77,65,90,78,Classic
Rod Higgins,74,United States,1990-91 Golden State Warriors,3PT Specialist,SF,PF,201,90,22,0,Fresno State,439,1,73,67,61,52,60,57,73,74,2393,78,75,80,81,65,60,67,48,66,68,73,63,85,66,62,69,40,60,52,69,69,51,64,57,53,33,45,67,59,51,73,70,54,60,54,59,Classic
Alton Lister,74,United States,1990-91 Golden State Warriors,Paint Defender,C,PF,213,108,53,0,Arizona State,440,1,51,53,54,36,64,77,73,74,2096,65,35,28,56,65,55,25,25,70,45,65,60,80,37,75,46,61,38,44,72,58,45,34,25,40,34,82,28,55,73,28,84,78,85,66,87,Classic
Sarunas Marciulionis,73,Lithuania,1990-91 Golden State Warriors,3-Level Scorer,SG,PG,196,90,13,0,Lithuania,452,1,74,81,56,62,58,48,74,79,2470,79,73,76,72,75,66,73,69,92,80,87,89,75,70,44,55,25,51,36,89,75,60,72,75,57,45,45,60,83,30,64,60,54,65,53,43,Classic
Mario Elie,69,United States,1990-91 Golden State Warriors,Shooter,SG,SF,196,95,20,0,American International College,586,1,72,68,53,58,57,58,69,75,2336,72,75,77,84,65,60,55,48,68,60,78,85,84,64,30,70,25,55,29,73,74,60,64,63,64,37,56,57,61,47,61,55,60,60,64,52,Classic
